SupplierID,SupplierName,Country
SUP001,Tech Distribution Egypt,China
SUP002,Delta Electronics Supply,UAE
SUP003,Nile Retail Supply,Egypt
SUP004,Cairo Digital Trading,China
SUP005,Alex Import & Trade,Egypt
SUP006,Smart Devices MENA,Egypt
SUP007,HomeTech Distributors,China
SUP008,Future Appliances,Turkey
SUP009,Arabian Electronics,China
SUP010,Prime IT Supply,Egypt
SUP011,Global Accessories Egypt,Egypt
SUP012,Canal Trading Co.,Egypt
SUP013,North Coast Distribution,Turkey
SUP014,MegaHome Supply,Egypt
SUP015,Digital Gate,Egypt
SUP016,Pioneer Retail Supplies,Egypt
SUP017,ElectroHub Egypt,Egypt
SUP018,United Consumer Tech,Egypt
