ProductID,ProductName,BrandID,SubcategoryID,Model,Color,LaunchDate,ProductStatus,StandardCost,ListPrice,IsDeleted,CreatedAt,ModifiedAt
P0001,HP Laptop HP-101-001,3,101,HP-101-001,Black,2021-03-11,Active,54312.94,69110.00,0,2021-03-11 09:00:00,2022-03-03 09:00:00
P0002,Acer Monitor ACE-102-002,12,102,ACE-102-002,Blue,2021-08-02,Active,12000.64,15250.00,0,2021-08-02 09:00:00,2023-03-21 09:00:00
P0003,Lenovo Storage LEN-103-003,1,103,LEN-103-003,Gray,2021-02-02,Active,2188.65,2890.00,0,2021-02-02 09:00:00,2022-03-29 09:00:00
P0004,ASUS Networking ASU-104-004,11,104,ASU-104-004,Red,2024-06-07,Discontinued,12210.93,15850.00,0,2024-06-07 09:00:00,2025-07-13 09:00:00
P0005,Xiaomi Smartphone XIA-105-005,6,105,XIA-105-005,White,2023-05-31,Active,37622.81,43360.00,0,2023-05-31 09:00:00,2023-11-08 09:00:00
P0006,Xiaomi Tablet XIA-106-006,6,106,XIA-106-006,White,2024-02-20,Active,7006.88,8170.00,0,2024-02-20 09:00:00,2025-03-19 09:00:00
P0007,Apple Smartwatche APP-107-007,4,107,APP-107-007,Blue,2022-10-03,Active,1394.71,1950.00,0,2022-10-03 09:00:00,2023-06-17 09:00:00
P0008,Apple Feature Phone APP-108-008,4,108,APP-108-008,White,2023-08-13,Active,692.64,900.00,0,2023-08-13 09:00:00,2025-06-27 09:00:00
P0009,Philips Refrigerator PHI-109-009,17,109,PHI-109-009,Gold,2021-02-21,Discontinued,54352.67,71960.00,0,2021-02-21 09:00:00,2021-12-19 09:00:00
P0010,Panasonic Washing Machine PAN-110-010,23,110,PAN-110-010,Blue,2024-01-02,Active,21532.92,29280.00,0,2024-01-02 09:00:00,2025-10-22 09:00:00
P0011,Bosch Air Conditioner BOS-111-011,18,111,BOS-111-011,Gray,2024-08-18,Active,24944.33,34710.00,0,2024-08-18 09:00:00,2026-04-27 09:00:00
P0012,Tornado Cooker TOR-112-012,21,112,TOR-112-012,Green,2023-06-21,Active,21996.10,26980.00,0,2023-06-21 09:00:00,2025-08-08 09:00:00
P0013,LG Television LG-113-013,13,113,LG-113-013,Blue,2022-04-10,Active,54932.61,74900.00,0,2022-04-10 09:00:00,2024-03-31 09:00:00
P0014,Samsung Sound System SAM-114-014,5,114,SAM-114-014,Gray,2022-03-04,Active,22077.09,25490.00,0,2022-03-04 09:00:00,2023-05-04 09:00:00
P0015,Hisense Gaming HIS-115-015,16,115,HIS-115-015,Silver,2021-03-21,Discontinued,40266.61,51730.00,0,2021-03-21 09:00:00,2023-01-19 09:00:00
P0016,JBL Streaming Device JBL-116-016,24,116,JBL-116-016,Green,2021-02-20,Active,6261.17,8130.00,0,2021-02-20 09:00:00,2022-03-11 09:00:00
P0017,Kingston Keyboards & Mice KIN-117-017,29,117,KIN-117-017,Gold,2022-06-06,Active,949.31,1110.00,0,2022-06-06 09:00:00,2024-10-09 09:00:00
P0018,Baseus Headphone BAS-118-018,27,118,BAS-118-018,Gold,2021-07-24,Active,4814.39,5620.00,0,2021-07-24 09:00:00,2023-08-28 09:00:00
P0019,Logitech Chargers & Cable LOG-119-019,25,119,LOG-119-019,Gold,2024-04-30,Active,3562.46,4140.00,0,2024-04-30 09:00:00,2024-08-25 09:00:00
P0020,TP-Link Bags & Case TP--120-020,28,120,TP--120-020,Red,2024-02-08,Active,780.42,890.00,0,2024-02-08 09:00:00,2026-03-09 09:00:00
P0021,Fresh Blender FRE-121-021,20,121,FRE-121-021,Black,2023-11-29,Active,1546.37,1830.00,0,2023-11-29 09:00:00,2025-06-19 09:00:00
P0022,Midea Coffee Machine MID-122-022,22,122,MID-122-022,Blue,2024-12-25,Active,4017.02,5690.00,0,2024-12-25 09:00:00,2026-07-12 09:00:00
P0023,Fresh Vacuum Cleaner FRE-123-023,20,123,FRE-123-023,Gray,2022-01-27,Active,12853.45,17360.00,0,2022-01-27 09:00:00,2023-11-26 09:00:00
P0024,Tornado Iron TOR-124-024,21,124,TOR-124-024,Red,2023-12-04,Active,2378.01,3330.00,0,2023-12-04 09:00:00,2026-05-16 09:00:00
P0025,Lenovo Laptop LEN-101-025,1,101,LEN-101-025,White,2025-11-18,Active,41985.16,56460.00,0,2025-11-18 09:00:00,2026-03-28 09:00:00
P0026,HP Monitor HP-102-026,3,102,HP-102-026,Silver,2023-03-06,Active,13963.56,18030.00,0,2023-03-06 09:00:00,2025-05-09 09:00:00
